article;w/c_ratio;fiber;concentration;specific_mass;length;aspect_ratio;elastic_modulus;fiber_tensile_strength;flexural_tensile_strength;toughness;toughness_factor;span;specimen_width;specimen_height
1;0.47;0;0;0;0;0;0;0;5.07;0;0;0.45;0.15;0.15
1;0.47;1;0.5;7.85;50;45;210;1115;5.37;75.83;3.37;0.45;0.15;0.15
1;0.47;1;1;7.85;50;45;210;1115;6.89;112.73;5.01;0.45;0.15;0.15
1;0.47;2;0.5;0.95;50;75;7;550;5.1;68.18;3.03;0.45;0.15;0.15
1;0.47;2;1;0.95;50;75;7;550;4.37;64.58;2.87;0.45;0.15;0.15
1;0.35;0;0;0;0;0;0;0;7.97;0;0;0.45;0.15;0.15
1;0.35;1;1;7.85;50;45;210;1115;9.79;163.8;7.28;0.45;0.15;0.15
1;0.35;1;2;7.85;50;45;210;1115;12.85;227.03;10.09;0.45;0.15;0.15
1;0.35;2;1;0.95;50;75;7;550;8.36;112.5;5;0.45;0.15;0.15
1;0.35;2;2;0.95;50;75;7;550;7.82;132.53;5.89;0.45;0.15;0.15
2;0.65;0;0;0;0;0;0;0;4.09;19.14;0.85;0.45;0.15;0.15
2;0.65;3;1;0.9;12;342.9;1.55;41;4.47;22.27;0.99;0.45;0.15;0.15
2;0.65;4;1;0.98;12;600;3000;132;4.38;24.72;1.1;0.45;0.15;0.15
3;0.45;1;0.19;7.8;;;210;1115;3.72;35.76;1.59;0.45;0.15;0.15
3;0.45;1;0.32;7.8;;;210;1115;3.35;39.53;1.76;0.45;0.15;0.15
3;0.45;1;0.45;7.8;;;210;1115;3.59;67.95;3.02;0.45;0.15;0.15
3;0.45;2;0.33;0.9;;;7;550;3.49;28.14;1.25;0.45;0.15;0.15
3;0.45;2;0.5;0.9;;;7;550;3.53;33.69;1.5;0.45;0.15;0.15
3;0.45;2;0.67;0.9;;;7;550;3.72;39.82;1.77;0.45;0.15;0.15
4;0.6;1;0.25;7.85;30;45;210;1115;;12.9;1.94;0.3;0.1;0.1
4;0.6;1;0.375;7.85;30;45;210;1115;;13.2;1.98;0.3;0.1;0.1
4;0.6;1;0.5;7.85;30;45;210;1115;;16.8;2.52;0.3;0.1;0.1
4;0.6;2;0.5;0.91;54;158;7;550;;11.4;1.71;0.3;0.1;0.1
4;0.6;2;0.75;0.91;54;158;7;550;;11.8;1.77;0.3;0.1;0.1
4;0.6;2;1;0.91;54;158;7;550;;12.7;1.91;0.3;0.1;0.1
5;0.65;0;0;0;0;0;0;0;3.82;4.3;0.62;0.3;0.1;0.1
5;0.65;5;0.5;1.34;30;42.86;2;450;3.72;13.7;2.01;0.3;0.1;0.1
5;0.65;5;1;1.34;30;42.86;2;450;4.12;22.1;3.24;0.3;0.1;0.1
