,w/c_ratio,fiber,concentration,specific_mass,elastic_modulus,fiber_tensile_strength,toughness_factor
0,0.52,7,0.83,1.3,39.0,1600,4.783
1,0.5,1,0.87,7.85,210.0,1000,4.801
2,0.63,3,0.66,0.91,3.5,500,4.816
3,0.4,7,1.34,1.3,39.0,1600,4.818
4,0.38,6,1.84,2.75,95.0,3300,4.834
5,0.61,6,1.59,2.75,95.0,3300,4.84
6,0.41,7,1.7,1.3,39.0,1600,4.841
7,0.64,2,0.84,0.91,7.0,550,4.841
8,0.62,6,1.25,2.75,95.0,3300,4.853
9,0.5,6,1.66,2.75,95.0,3300,4.862
10,0.3,7,1.31,1.3,39.0,1600,4.863
11,0.6,2,0.46,0.91,7.0,550,4.878
12,0.57,3,0.6,0.91,3.5,500,4.879
13,0.58,2,0.76,0.91,7.0,550,4.886
14,0.41,6,1.89,2.75,95.0,3300,4.895
15,0.66,2,0.81,0.91,7.0,550,4.898
16,0.63,1,0.72,7.85,210.0,1000,4.911
17,0.5,1,0.58,7.85,210.0,1000,4.917
18,0.33,6,1.49,2.75,95.0,3300,4.918
19,0.61,2,0.35,0.91,7.0,550,4.924
20,0.37,7,1.27,1.3,39.0,1600,4.924
21,0.37,1,0.92,7.85,210.0,1000,4.929
22,0.56,1,0.7,7.85,210.0,1000,4.933
23,0.46,1,0.54,7.85,210.0,1000,4.933
24,0.66,1,1.61,7.85,210.0,1000,4.944
25,0.62,1,1.05,7.85,210.0,1000,4.945
26,0.33,6,1.32,2.75,95.0,3300,4.947
27,0.66,1,0.46,7.85,210.0,1000,4.967
28,0.54,2,0.34,0.91,7.0,550,4.972
29,0.66,2,0.45,0.91,7.0,550,4.977
30,0.33,6,1.31,2.75,95.0,3300,4.978
31,0.34,5,0.99,1.34,2.0,450,4.992
32,0.44,1,0.91,7.85,210.0,1000,4.993
33,0.52,6,0.91,2.75,95.0,3300,4.993
34,0.32,6,1.61,2.75,95.0,3300,4.994
35,0.66,1,0.58,7.85,210.0,1000,4.996
36,0.63,1,0.65,7.85,210.0,1000,5.0
37,0.37,6,1.63,2.75,95.0,3300,5.005
38,0.29,6,1.38,2.75,95.0,3300,5.02
39,0.5,2,0.88,0.91,7.0,550,5.026
40,0.53,1,0.97,7.85,210.0,1000,5.027
41,0.54,1,1.09,7.85,210.0,1000,5.04
42,0.3,2,0.47,0.91,7.0,550,5.047
43,0.62,1,0.87,7.85,210.0,1000,5.05
44,0.56,3,0.66,0.91,3.5,500,5.053
45,0.43,6,1.34,2.75,95.0,3300,5.071
46,0.65,1,0.83,7.85,210.0,1000,5.074
47,0.36,6,1.77,2.75,95.0,3300,5.081
48,0.66,1,0.97,7.85,210.0,1000,5.095
49,0.62,8,0.55,0.98,5.0,570,5.098
50,0.52,2,0.58,0.91,7.0,550,5.115
51,0.31,6,1.52,2.75,95.0,3300,5.118
52,0.41,7,1.02,1.3,39.0,1600,5.137
53,0.41,9,1.15,1.14,3.15,550,5.138
54,0.66,2,0.56,0.91,7.0,550,5.142
55,0.62,1,0.81,7.85,210.0,1000,5.142
56,0.62,1,0.64,7.85,210.0,1000,5.192
57,0.33,2,0.49,0.91,7.0,550,5.196
58,0.32,6,1.43,2.75,95.0,3300,5.201
59,0.55,2,0.71,0.91,7.0,550,5.225
60,0.3,6,1.71,2.75,95.0,3300,5.251
61,0.5,1,0.6,7.85,210.0,1000,5.254
62,0.62,2,0.57,0.91,7.0,550,5.258
63,0.32,6,2.0,2.75,95.0,3300,5.269
64,0.46,6,1.79,2.75,95.0,3300,5.277
65,0.3,6,1.68,2.75,95.0,3300,5.277
66,0.57,1,0.46,7.85,210.0,1000,5.285
67,0.66,1,0.56,7.85,210.0,1000,5.289
68,0.6,7,1.34,1.3,39.0,1600,5.299
69,0.6,1,0.79,7.85,210.0,1000,5.304
70,0.44,1,0.9,7.85,210.0,1000,5.313
71,0.6,1,0.97,7.85,210.0,1000,5.364
72,0.51,1,0.61,7.85,210.0,1000,5.375
73,0.31,6,1.38,2.75,95.0,3300,5.376
74,0.49,6,1.95,2.75,95.0,3300,5.385
75,0.57,1,0.95,7.85,210.0,1000,5.408
76,0.62,2,0.61,0.91,7.0,550,5.422
77,0.41,6,0.92,2.75,95.0,3300,5.433
78,0.37,6,1.57,2.75,95.0,3300,5.448
79,0.66,1,1.12,7.85,210.0,1000,5.45
80,0.47,6,1.73,2.75,95.0,3300,5.467
81,0.54,3,1.09,0.91,3.5,500,5.482
82,0.39,6,1.58,2.75,95.0,3300,5.484
83,0.54,1,0.99,7.85,210.0,1000,5.484
84,0.6,1,0.77,7.85,210.0,1000,5.488
85,0.66,1,0.64,7.85,210.0,1000,5.503
86,0.32,6,1.39,2.75,95.0,3300,5.506
87,0.39,6,1.29,2.75,95.0,3300,5.521
88,0.35,6,1.15,2.75,95.0,3300,5.528
89,0.58,1,1.46,7.85,210.0,1000,5.53
90,0.46,6,1.31,2.75,95.0,3300,5.557
91,0.66,1,0.62,7.85,210.0,1000,5.566
92,0.44,6,1.39,2.75,95.0,3300,5.574
93,0.65,1,1.22,7.85,210.0,1000,5.578
94,0.64,1,1.11,7.85,210.0,1000,5.581
95,0.63,1,1.18,7.85,210.0,1000,5.613
96,0.33,6,1.49,2.75,95.0,3300,5.614
97,0.63,1,0.96,7.85,210.0,1000,5.638
98,0.3,1,1.54,7.85,210.0,1000,5.639
99,0.42,1,1.28,7.85,210.0,1000,5.649
100,0.53,6,1.56,2.75,95.0,3300,5.672
101,0.65,1,0.62,7.85,210.0,1000,5.677
102,0.66,1,1.22,7.85,210.0,1000,5.687
103,0.66,1,0.67,7.85,210.0,1000,5.691
104,0.66,1,1.28,7.85,210.0,1000,5.693
105,0.52,1,1.44,7.85,210.0,1000,5.697
106,0.59,1,0.94,7.85,210.0,1000,5.747
107,0.29,6,1.85,2.75,95.0,3300,5.751
108,0.63,1,1.2,7.85,210.0,1000,5.761
109,0.61,1,1.37,7.85,210.0,1000,5.766
110,0.66,1,1.37,7.85,210.0,1000,5.767
111,0.29,6,1.74,2.75,95.0,3300,5.785
112,0.4,6,1.75,2.75,95.0,3300,5.787
113,0.61,1,0.29,7.85,210.0,1000,5.814
114,0.56,1,0.53,7.85,210.0,1000,5.829
115,0.48,1,0.64,7.85,210.0,1000,5.869
116,0.38,6,1.63,2.75,95.0,3300,5.891
117,0.44,6,1.53,2.75,95.0,3300,5.898
118,0.4,1,1.16,7.85,210.0,1000,5.902
119,0.53,1,1.0,7.85,210.0,1000,5.929
120,0.64,2,0.45,0.91,7.0,550,5.929
121,0.66,1,0.84,7.85,210.0,1000,5.932
122,0.51,1,1.22,7.85,210.0,1000,5.964
123,0.59,6,1.67,2.75,95.0,3300,5.991
124,0.34,6,1.88,2.75,95.0,3300,6.014
125,0.66,1,1.03,7.85,210.0,1000,6.021
126,0.61,1,0.91,7.85,210.0,1000,6.096
127,0.63,1,0.91,7.85,210.0,1000,6.104
128,0.55,6,1.32,2.75,95.0,3300,6.146
129,0.44,1,1.1,7.85,210.0,1000,6.159
130,0.64,1,0.95,7.85,210.0,1000,6.212
131,0.4,6,1.91,2.75,95.0,3300,6.225
132,0.56,1,0.75,7.85,210.0,1000,6.257
133,0.38,6,1.26,2.75,95.0,3300,6.283
134,0.58,1,1.2,7.85,210.0,1000,6.323
135,0.63,1,1.51,7.85,210.0,1000,6.332
136,0.5,1,1.01,7.85,210.0,1000,6.342
137,0.3,6,1.87,2.75,95.0,3300,6.493
138,0.63,1,1.87,7.85,210.0,1000,6.504
139,0.45,6,1.99,2.75,95.0,3300,6.523
140,0.62,1,0.96,7.85,210.0,1000,6.704
141,0.61,1,1.3,7.85,210.0,1000,6.717
142,0.31,1,1.73,7.85,210.0,1000,6.727
143,0.38,1,1.42,7.85,210.0,1000,6.883
144,0.63,1,1.2,7.85,210.0,1000,6.947
145,0.64,1,1.88,7.85,210.0,1000,7.436
146,0.65,1,0.62,7.85,210.0,1000,5.677
147,0.64,2,0.84,0.91,7.0,550,4.841
148,0.63,1,0.96,7.85,210.0,1000,5.638
149,0.61,1,1.3,7.85,210.0,1000,6.717
150,0.29,6,1.74,2.75,95.0,3300,5.785
151,0.52,7,0.83,1.3,39.0,1600,4.783
152,0.62,2,0.57,0.91,7.0,550,5.258
153,0.38,1,1.42,7.85,210.0,1000,6.883
154,0.53,1,0.97,7.85,210.0,1000,5.027
155,0.41,7,1.02,1.3,39.0,1600,5.137
156,0.6,7,1.34,1.3,39.0,1600,5.299
157,0.5,1,0.58,7.85,210.0,1000,4.917
158,0.29,6,1.38,2.75,95.0,3300,5.02
159,0.62,1,0.81,7.85,210.0,1000,5.142
160,0.63,1,0.72,7.85,210.0,1000,4.911
161,0.29,6,1.85,2.75,95.0,3300,5.751
162,0.66,1,0.64,7.85,210.0,1000,5.503
163,0.46,6,1.79,2.75,95.0,3300,5.277
